NAMESPACE       NAME                                     TYPE           CLUSTER-IP      EXTERNAL-IP                                  PORT(S)                                                          AGE
ncso            capability-manager-debug                 NodePort       10.43.40.233    <none>                                       5005:31763/TCP                                                   5d
ncso            cm-debug                                 NodePort       10.43.233.221   <none>                                       5005:32094/TCP                                                   5d
ncso            cv-debug                                 NodePort       10.43.222.127   <none>                                       5005:30746/TCP                                                   5d
ncso            er-debug                                 NodePort       10.43.114.172   <none>                                       5005:32621/TCP                                                   5d
ncso            es                                       ClusterIP      None            <none>                                       9200/TCP,9300/TCP                                                5d
ncso            es-nfs-provisioner                       ClusterIP      10.43.94.222    <none>                                       2049/TCP,20048/TCP,111/TCP,111/UDP                               5d
ncso            keycloak-headless                        ClusterIP      None            <none>                                       80/TCP                                                           5d
ncso            keycloak-http                            NodePort       10.43.128.11    <none>                                       80:31768/TCP                                                     5d
ncso            keycloak-postgres-nfs-provisioner        ClusterIP      10.43.44.204    <none>                                       2049/TCP,20048/TCP,111/TCP,111/UDP                               5d
ncso            kms-debug                                NodePort       10.43.80.123    <none>                                       5005:32722/TCP                                                   5d
ncso            ls                                       NodePort       10.43.128.204   <none>                                       514:32331/TCP                                                    5d
ncso            monitoring-debug                         NodePort       10.43.209.195   <none>                                       5005:31999/TCP                                                   5d
ncso            monitoring-dispatcher-debug              NodePort       10.43.141.174   <none>                                       5005:31429/TCP                                                   5d
ncso            ncso-postgresql                          ClusterIP      10.43.127.208   <none>                                       5432/TCP                                                         5d
ncso            notif-debug                              NodePort       10.43.167.20    <none>                                       5005:30779/TCP                                                   5d
ncso            notinv-debug                             NodePort       10.43.0.146     <none>                                       5005:30719/TCP                                                   5d
ncso            planner-debug                            NodePort       10.43.54.1      <none>                                       5005:31453/TCP                                                   5d
ncso            rabbitmq                                 ClusterIP      None            <none>                                       5671/TCP,4369/TCP,15672/TCP                                      5d
ncso            reference-data-manager                   ClusterIP      10.43.224.253   <none>                                       8000/TCP                                                         5d
ncso            reference-data-manager-debug             NodePort       10.43.40.218    <none>                                       5005:31710/TCP                                                   5d
ncso            request-sequencer                        ClusterIP      10.43.26.146    <none>                                       8000/TCP                                                         5d
ncso            request-sequencer-debug                  NodePort       10.43.30.111    <none>                                       5005:31744/TCP                                                   5d
ncso            riak                                     ClusterIP      None            <none>                                       8087/TCP,8098/TCP                                                5d
ncso            ui                                       NodePort       10.43.63.132    <none>                                       8443:31025/TCP                                                   5d
ncso            ui-debug                                 NodePort       10.43.127.229   <none>                                       5005:31090/TCP                                                   5d
ncso            wfm-debug                                NodePort       10.43.236.90    <none>                                       5005:30013/TCP                                                   5d
sdc             sdc-be                                   NodePort       10.43.255.229   <none>                                       8443:30204/TCP,8080:30205/TCP                                    5d
sdc             sdc-cs                                   NodePort       10.43.225.101   <none>                                       9160:30208/TCP,9042:30209/TCP                                    5d
sdc             sdc-es                                   ClusterIP      10.43.219.231   <none>                                       9200/TCP,9300/TCP                                                5d
sdc             sdc-fe                                   NodePort       10.43.204.84    <none>                                       8181:30206/TCP,9443:30207/TCP                                    5d
sdc             sdc-kb                                   ClusterIP      10.43.89.228    <none>                                       5601/TCP                                                         5d
sdc             sdc-monitoring-be                        NodePort       10.43.246.89    <none>                                       8443:30510/TCP,8080:30512/TCP                                    5d
sdc             sdc-monitoring-fe                        NodePort       10.43.216.151   <none>                                       8181:30521/TCP,8080:30522/TCP                                    5d
sdc             sdc-onboarding-be                        ClusterIP      10.43.254.49    <none>                                       8445/TCP,8081/TCP                                                5d
sdc             sdc-web                                  NodePort       10.43.18.252    <none>                                       8080:30203/TCP,8443:30202/TCP                                    5d
